dataset,iteration,model,n_steps,n_hidden_layers,time,baseline,baseline_time
MNIST,1,ParaLIF,100,1,20.733128624997335,LeNet,3.0805517499975394
MNIST,1,LIF,100,2,42.415785040997434,LeNet,3.0805517499975394
MNIST,1,ParaLIF,100,2,28.34394716701354,LeNet,3.0805517499975394
MNIST,1,LIF,100,3,59.53994879097445,LeNet,3.0805517499975394
MNIST,1,ParaLIF,100,3,31.770260459015844,LeNet,3.0805517499975394
MNIST,2,LIF,5,0,2.7059765000012703,LeNet,3.219382917013718
MNIST,2,ParaLIF,5,0,3.0812267500150483,LeNet,3.219382917013718
MNIST,2,LIF,5,1,3.883150999987265,LeNet,3.219382917013718
MNIST,2,ParaLIF,5,1,3.265888541995082,LeNet,3.219382917013718
MNIST,2,LIF,5,2,4.859554916998604,LeNet,3.219382917013718
MNIST,2,ParaLIF,5,2,3.5640885840111878,LeNet,3.219382917013718
MNIST,2,LIF,5,3,5.747519208991434,LeNet,3.219382917013718
MNIST,2,ParaLIF,5,3,3.779825041012373,LeNet,3.219382917013718
MNIST,2,LIF,10,0,3.278364625002723,LeNet,3.219382917013718
MNIST,2,ParaLIF,10,0,3.198612249980215,LeNet,3.219382917013718
MNIST,2,LIF,10,1,4.955501624994213,LeNet,3.219382917013718
MNIST,2,ParaLIF,10,1,3.323288416984724,LeNet,3.219382917013718
MNIST,2,LIF,10,2,7.017807666998124,LeNet,3.219382917013718
MNIST,2,ParaLIF,10,2,3.6789943749899976,LeNet,3.219382917013718
MNIST,2,LIF,10,3,8.732151875010459,LeNet,3.219382917013718
MNIST,2,ParaLIF,10,3,3.963423250010237,LeNet,3.219382917013718
MNIST,2,LIF,20,0,3.458563124993816,LeNet,3.219382917013718
MNIST,2,ParaLIF,20,0,3.340044333017431,LeNet,3.219382917013718
MNIST,2,LIF,20,1,7.2957872500119265,LeNet,3.219382917013718
MNIST,2,ParaLIF,20,1,4.1591636660159566,LeNet,3.219382917013718
MNIST,2,LIF,20,2,10.944681624998339,LeNet,3.219382917013718
MNIST,2,ParaLIF,20,2,5.552003749995492,LeNet,3.219382917013718
MNIST,2,LIF,20,3,13.823652416002005,LeNet,3.219382917013718
MNIST,2,ParaLIF,20,3,6.350869333022274,LeNet,3.219382917013718
MNIST,2,LIF,30,0,3.8202207919966895,LeNet,3.219382917013718
